Getting declarations... 5222 found
(caching disabled)
Checking: Array.push... ok
Checking: ByteArray.push... ok
Checking: List.toByteArray.loop... ok
Checking: Array.emptyWithCapacity... ok
Checking: Array.empty... ok
Checking: ByteArray.emptyWithCapacity... ok
Checking: ByteArray.empty... ok
Checking: List.toByteArray... ok
Checking: List.flatten.match_1... ok
Checking: List.append.match_1... ok
Checking: List.append... ok
Checking: List.flatten... ok
Checking: List.length.match_1... ok
Checking: List.map... ok
Checking: List.flatMap... ok
Checking: Char.val... ok
Checking: Decidable... ok
Checking: False... ok
Checking: Not... ok
Checking: Decidable.isFalse... ok
Checking: Decidable.isTrue... ok
Checking: Decidable.rec... ok
Checking: Decidable.casesOn... ok
Checking: ite... ok
Checking: LE... ok
Checking: LE.mk... ok
Checking: LE.le... ok
Checking: instLENat... ok
Checking: dite... ok
Checking: Nat.ble.match_1... ok
Checking: Nat.ble... ok
Checking: DecidableEq... ok
Checking: Bool.rec... ok
Checking: Bool.casesOn... ok
Checking: Bool.decEq.match_1... ok
Checking: rfl... ok
Checking: Bool.noConfusionType... ok
Checking: Bool.noConfusion... ok
Checking: Bool.decEq... ok
Checking: instDecidableEqBool... ok
Checking: False.rec... ok
Checking: False.elim... ok
Checking: Eq.casesOn... ok
Checking: HEq... ok
Checking: HEq.refl... ok
Checking: _private.Init.Prelude.0.Nat.le_of_ble_eq_true.match_1_1... ok
Checking: _private.Init.Prelude.0.Nat.zero_le.match_1_1... ok
Checking: Nat.zero_le... ok
Checking: Nat.le.below... ok
Checking: Nat.le.below.refl... ok
Checking: Nat.le.below.step... ok
Checking: Nat.le.rec... ok
Checking: Nat.le.brecOn... ok
Checking: Nat.le.below.rec... ok
Checking: Nat.le.below.casesOn... ok
Checking: Eq.symm... ok
Checking: cast... ok
Checking: HEq.rec... ok
Checking: eq_of_heq... ok
Checking: _private.Init.Prelude.0.Nat.succ_le_succ.match_1_4... ok
Checking: HAdd... ok
Checking: HAdd.mk... ok
Checking: HAdd.hAdd... ok
Checking: Add... ok
Checking: Add.mk... ok
Checking: Add.add... ok
Checking: instHAdd... ok
Checking: instAddNat... ok
Checking: Nat.succ_le_succ... ok
Checking: Nat.le_of_ble_eq_true... ok
Checking: absurd... ok
Checking: _private.Init.Prelude.0.Nat.ble_eq_true_of_le.match_1_4... ok
Checking: _private.Init.Prelude.0.Nat.ble_self_eq_true.match_1_1... ok
Checking: Nat.ble_self_eq_true... ok
Checking: _private.Init.Prelude.0.Nat.ble_succ_eq_true.match_1_1... ok
Checking: Nat.ble_succ_eq_true... ok
Checking: Nat.ble_eq_true_of_le... ok
Checking: Nat.not_le_of_not_ble_eq_true... ok
Checking: Nat.decLe... ok
Checking: HMod... ok
Checking: HMod.mk... ok
Checking: HMod.hMod... ok
Checking: Mod... ok
Checking: Mod.mk... ok
Checking: Mod.mod... ok
Checking: instHMod... ok
Checking: namedPattern... ok
Checking: Nat.mod.match_1... ok
Checking: Nat.decLt... ok
Checking: Nat.le.casesOn... ok
Checking: Nat.noConfusionType... ok
Checking: Nat.noConfusion... ok
Checking: Nat.div.go.match_1... ok
Checking: HSub... ok
Checking: HSub.mk... ok
Checking: HSub.hSub... ok
Checking: Sub... ok
Checking: Sub.mk... ok
Checking: Sub.sub... ok
Checking: instHSub... ok
Checking: Nat.pred... ok
Checking: Nat.sub... ok
Checking: instSubNat... ok
Checking: _private.Init.Prelude.0.Nat.le_trans.match_1_6... ok
Checking: Nat.le_trans... ok
Checking: Nat.lt_of_lt_of_le... ok
Checking: And.rec... ok
Checking: And.casesOn... ok
Checking: _private.Init.Prelude.0.Nat.div_rec_lemma.match_1_1... ok
Checking: _private.Init.Prelude.0.Nat.sub_lt.match_1_1... ok
Checking: _private.Init.Prelude.0.Nat.not_succ_le_self.match_1_1... ok
Checking: _private.Init.Prelude.0.Nat.not_succ_le_zero.match_1_5... ok
Checking: _private.Init.Prelude.0.Nat.not_succ_le_zero.match_1_1... ok
Checking: _private.Init.Prelude.0.Nat.not_succ_le_zero.match_1_3... ok
Checking: Nat.not_succ_le_zero... ok
Checking: _private.Init.Prelude.0.Nat.pred_le_pred.match_1_1... ok
Checking: Nat.le_succ... ok
Checking: Nat.pred_le_pred... ok
Checking: Nat.le_of_succ_le_succ... ok
Checking: Nat.not_succ_le_self... ok
Checking: Nat.lt_irrefl... ok
Checking: Nat.lt_succ_of_le... ok
Checking: Nat.le_refl... ok
Checking: _private.Init.Prelude.0.Nat.pred_le.match_1_1... ok
Checking: Nat.pred_le... ok
Checking: Nat.sub_le... ok
Checking: congrArg... ok
Checking: Nat.succ_sub_succ_eq_sub... ok
Checking: Nat.sub_lt... ok
Checking: Nat.div_rec_lemma... ok
Checking: Nat.le_of_lt_succ... ok
Checking: Nat.div_rec_fuel_lemma... ok
Checking: Nat.modCore.go... ok
Checking: Nat.lt_add_one... ok
Checking: Nat.lt_succ_self... ok
Checking: Nat.modCore... ok
Checking: Nat.mod... ok
Checking: Nat.instMod... ok
Checking: _private.Init.Prelude.0.Nat.mod_lt.match_1_3... ok
Checking: Nat.zero_lt_succ... ok
Checking: _private.Init.Prelude.0.Nat.mod_lt.match_1_1... ok
Checking: _private.Init.Prelude.0.Nat.modCore_lt.match_1_1... ok
Checking: Nat.not_lt_zero... ok
Checking: _private.Init.Prelude.0.Nat.modCoreGo_lt.match_1_1... ok
Checking: Or.rec... ok
Checking: Or.casesOn... ok
Checking: _private.Init.Prelude.0.Or.elim.match_1_1... ok
Checking: Or.elim... ok
Checking: id... ok
Checking: Or.resolve_right... ok
Checking: GE.ge... ok
Checking: _private.Init.Prelude.0.Nat.lt_or_ge.match_1_5... ok
Checking: _private.Init.Prelude.0.Nat.lt_or_ge.match_1_3... ok
Checking: Nat.le_succ_of_le... ok
Checking: _private.Init.Prelude.0.Nat.lt_or_ge.match_1_1... ok
Checking: Nat.eq_or_lt_of_le.match_3... ok
Checking: Nat.eq_or_lt_of_le.match_1... ok
Checking: Nat.eq_or_lt_of_le... ok
Checking: Nat.lt_or_ge... ok
Checking: Nat.lt_of_not_le... ok
Checking: Nat.modCoreGo_lt... ok
Checking: Nat.modCore_lt... ok
Checking: Nat.mod_lt... ok
Checking: Fin.Internal.ofNat... ok
Checking: _private.Init.Prelude.0.Nat.pow_pos.match_1_1... ok
Checking: HMul... ok
Checking: HMul.mk... ok
Checking: HMul.hMul... ok
Checking: Mul... ok
Checking: Mul.mk... ok
Checking: Mul.mul... ok
Checking: instHMul... ok
Checking: instMulNat... ok
Checking: _private.Init.Prelude.0.Nat.mul_pos.match_1_1... ok
Checking: _private.Init.Prelude.0.Nat.add_pos_right.match_1_1... ok
Checking: Nat.add_pos_right... ok
Checking: Nat.mul_pos... ok
Checking: Nat.pow_pos... ok
Checking: BitVec.ofNat._proof_1... ok
Checking: BitVec.ofNat... ok
Checking: UInt8.ofNat... ok
Checking: HDiv... ok
Checking: HDiv.mk... ok
Checking: HDiv.hDiv... ok
Checking: Div... ok
Checking: Div.mk... ok
Checking: Div.div... ok
Checking: instHDiv... ok
Checking: Nat.div.go... ok
Checking: Nat.div... ok
Checking: Nat.instDiv... ok
Checking: String.utf8EncodeChar... ok
Checking: List.utf8Encode... ok
Checking: ByteArray.IsValidUTF8.intro... ok
Checking: String.ofByteArray... ok
Checking: Lean.Name.str... ok
Checking: Lean.Name.num... ok
Checking: Lean.ParserDescr.const... ok
Checking: Lean.ParserDescr.unary... ok
Checking: Lean.ParserDescr.binary... ok
Checking: Lean.SyntaxNodeKind... ok
Checking: Lean.ParserDescr.node... ok
Checking: Lean.ParserDescr.trailingNode... ok
Checking: Lean.ParserDescr.symbol... ok
Checking: Lean.ParserDescr.nonReservedSymbol... ok
Checking: Lean.ParserDescr.cat... ok
Checking: Lean.ParserDescr.parser... ok
Checking: Lean.ParserDescr.nodeWithAntiquot... ok
Checking: optParam... ok
Checking: Lean.ParserDescr.sepBy... ok
Checking: Lean.ParserDescr.sepBy1... ok
Checking: Lean.ParserDescr.unicodeSymbol... ok
Checking: Lean.Name.mkStr4... ok
Checking: Lean.Name.mkStr1... ok
Checking: Lean.Parser.Attr.grindGen... ok
Checking: Lean.Parser.Attr.grindEqBoth... ok
Checking: Lean.Parser.Attr.grindEqRhs... ok
Checking: Lean.Parser.Attr.grindEq... ok
Checking: Lean.Parser.Attr.grindEqBwd... ok
Checking: Lean.Name.mkStr2... ok
Checking: Lean.Parser.Attr.grindBwd... ok
Checking: Lean.Parser.Attr.grindFwd... ok
Checking: Lean.Parser.Attr.grindRL... ok
Checking: Lean.Parser.Attr.grindLR... ok
Checking: Lean.Parser.Attr.grindUsr... ok
Checking: Lean.Parser.Attr.grindCasesEager... ok
Checking: Lean.Parser.Attr.grindCases... ok
Checking: Lean.Parser.Attr.grindIntro... ok
Checking: Lean.Parser.Attr.grindExt... ok
Checking: Lean.Parser.Attr.grindSym... ok
Checking: Lean.Parser.Attr.grindInj... ok
Checking: Lean.Parser.Attr.grindDef... ok
Checking: Lean.Parser.Attr.grindMod... ok
Checking: Lean.Parser.Attr.grind?... ok
Checking: Nat.mul_add_one... FAIL
Checking: Iff... ok
Checking: Iff.intro... ok
Checking: propext... ok
Checking: Eq.propIntro... ok
Checking: Fin.rec... ok
Checking: Fin.casesOn... ok
Checking: Fin.noConfusionType... ok
Checking: Fin.noConfusion... ok
Checking: Fin.mk.noConfusion... ok
Checking: Fin.mk.injEq... ok
Checking: Acc... ok
Checking: Acc.intro... ok
Checking: Acc.below... ok
Checking: Acc.below.intro... ok
Checking: Acc.rec... ok
Checking: Acc.brecOn... ok
Checking: Lean.Name.mkStr5... ok
Checking: Lean.Parser.Tactic.posConfigItem... ok
Checking: Lean.Parser.Tactic.negConfigItem... ok
Checking: Lean.Parser.Tactic.valConfigItem... ok
Checking: Lean.Parser.Tactic.configItem... ok
Checking: Lean.Parser.Tactic.grindErase... ok
Checking: Lean.Parser.Tactic.grindLemma... ok
Checking: Lean.Parser.Tactic.grindLemmaMin... ok
Checking: Lean.Parser.Tactic.anchor... ok
Checking: Lean.Parser.Tactic.grindParam... ok
Checking: Lean.Parser.Tactic.Grind.finish... ok
Checking: Char.rec... ok
Checking: Char.recOn... ok
Checking: DoResultPRBC... ok
Checking: DoResultPRBC.pure... ok
Checking: DoResultPRBC.return... ok
Checking: DoResultPRBC.break... ok
Checking: DoResultPRBC.continue... ok
Checking: DoResultPRBC.rec... ok
Checking: Lean.Name.rec... ok
Checking: Lean.Name.casesOn... ok
Checking: Lean.Name.sizeOf.match_1... ok
Checking: Iff.mp... ok
Checking: HEq.rfl... ok
Checking: ForInStep... ok
Checking: ForInStep.done... ok
Checking: ForInStep.yield... ok
Checking: ForInStep.rec... ok
Checking: ForInStep.casesOn... ok
Checking: ForInStep.noConfusionType... ok
Checking: ForInStep.noConfusion... ok
Checking: ForInStep.done.noConfusion... ok
Checking: ForInStep.done.inj... ok
Checking: Neg... ok
Checking: Neg.mk... ok
Checking: Lean.Meta.EtaStructMode... ok
Checking: Lean.Meta.EtaStructMode.all... ok
Checking: Lean.Meta.EtaStructMode.notClasses... ok
Checking: Lean.Meta.EtaStructMode.none... ok
Checking: Lean.Meta.DSimp.Config... ok
Checking: Lean.Meta.DSimp.Config.mk... ok
Checking: Lean.Parser.Tactic.tacticHaveI__... ok
Checking: OrOp... ok
Checking: OrOp.mk... ok
Checking: OrOp.rec... ok
Checking: OrOp.casesOn... ok
Checking: OrOp.noConfusionType... ok
Checking: OrOp.noConfusion... ok
Checking: Eq.mpr... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.mul_comm.match_1_1... ok
Checking: Nat.mul_zero... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.zero_mul.match_1_1... ok
Checking: Nat.mul_succ... ok
Checking: Nat.zero_mul... ok
Checking: Nat.recAux... ok
Checking: Nat.add_succ... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.add_assoc.match_1_1... ok
Checking: Nat.add_assoc... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.add_comm.match_1_1... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.zero_add.match_1_1... ok
Checking: Nat.zero_add... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.succ_add.match_1_1... ok
Checking: Nat.succ_add... ok
Checking: Nat.add_comm... ok
Checking: Nat.add_right_comm... ok
Checking: Nat.succ_mul... ok
Checking: Nat.mul_comm... ok
Checking: Nat.add_zero... ok
Checking: instDecidableAnd.match_1... ok
Checking: And.right... ok
Checking: instDecidableAnd._proof_1... ok
Checking: And.left... ok
Checking: instDecidableAnd._proof_2... ok
Checking: instDecidableAnd... ok
Checking: congr... ok
Checking: _private.Init.Core.0.dif_neg.match_1_1... ok
Checking: dif_neg... ok
Checking: Decidable.byCases.match_1... ok
Checking: Decidable.byCases... ok
Checking: Decidable.em... ok
Checking: _private.Init.Core.0.if_pos.match_1_1... ok
Checking: if_pos... ok
Checking: _private.Init.Core.0.if_neg.match_1_1... ok
Checking: if_neg... ok
Checking: ite_congr... ok
Checking: True... ok
Checking: True.intro... ok
Checking: trivial... ok
Checking: of_eq_true... ok
Checking: Eq.trans... ok
Checking: not_false... ok
Checking: instDecidableFalse... ok
Checking: eq_true... ok
Checking: eq_self... ok
Checking: ite_cond_eq_false... ok
Checking: eq_false... ok
Checking: false_and... ok
Checking: _private.Init.Core.0.dif_pos.match_1_1... ok
Checking: dif_pos... ok
Checking: Nat.div.go.eq_1... ok
Checking: and_false... ok
Checking: instDecidableTrue... ok
Checking: ite_cond_eq_true... ok
Checking: and_self... ok
Checking: _private.Init.Data.Nat.Div.Basic.0.Nat.div.go.fuel_congr.match_1_1... ok
Checking: Nat.beq.match_1... ok
Checking: Nat.beq... ok
Checking: _private.Init.Prelude.0.noConfusion_of_Nat.aux.match_1_1... ok
Checking: _private.Init.Prelude.0.noConfusion_of_Nat.aux... ok
Checking: noConfusion_of_Nat... ok
Checking: Nat.ctorIdx... ok
Checking: _private.Init.Data.Nat.Div.Basic.0.Nat.div.go.fuel_congr... ok
Checking: Nat.div_eq... ok
Checking: Nat.div_eq_sub_div... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.le_add_right.match_1_1... ok
Checking: Nat.le_add_right... ok
Checking: Nat.le_add_left... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.add_sub_add_right._simp_1_1... ok
Checking: Nat.add_sub_add_right... ok
Checking: Nat.sub_zero... ok
Checking: Eq.mp... ok
Checking: Nat.add_sub_cancel... ok
Checking: Nat.add_div_right... ok
Checking: Nat.add_mul_div_left... ok
Checking: Nat.add_mul_div_right... ok
Checking: GT.gt... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.not_le_of_gt.match_1_1... ok
Checking: Nat.lt_trans... ok
Checking: _private.Init.Prelude.0.Nat.le_antisymm.match_1_1... ok
Checking: Nat.lt_of_le_of_lt... ok
Checking: Nat.le_antisymm... ok
Checking: Eq.subst... ok
Checking: Nat.not_le_of_gt... ok
Checking: Nat.zero_div... ok
Checking: Nat.mul_div_cancel... ok
Checking: Nat.mul_div_cancel_left... ok
Checking: Nat.div_eq_of_eq_mul_right... ok
Checking: Substring.Raw... ok
Checking: String.Pos.Raw... ok
Checking: String.Pos.Raw.mk... ok
Checking: Substring.Raw.mk... ok
Checking: ByteArray.size.match_1... ok
Checking: List.length... ok
Checking: Array.size... ok
Checking: ByteArray.size... ok
Checking: String.bytes... ok
Checking: String.utf8ByteSize... ok
Checking: String.rawEndPos... ok
Checking: String.toRawSubstring... ok
Checking: String.toRawSubstring'... ok
Checking: WellFoundedRelation... ok
Checking: WellFounded... ok
Checking: WellFounded.intro... ok
Checking: WellFoundedRelation.mk... ok
Checking: PSigma... ok
Checking: PSigma.mk... ok
Checking: PSigma.Lex... ok
Checking: PSigma.Lex.left... ok
Checking: PSigma.Lex.right... ok
Checking: WellFoundedRelation.rel... ok
Checking: PSigma.rec... ok
Checking: PSigma.casesOn... ok
Checking: PSigma.lex.match_1... ok
Checking: PSigma.Lex.rec... ok
Checking: PSigma.Lex.casesOn... ok
Checking: PSigma.noConfusionType... ok
Checking: PSigma.noConfusion... ok
Checking: PSigma.mk.noConfusion... ok
Checking: WellFounded.rec... ok
Checking: WellFounded.apply... ok
Checking: PSigma.lexAccessible... ok
Checking: WellFoundedRelation.wf... ok
Checking: PSigma.lex._proof_1... ok
Checking: PSigma.lex... ok
Checking: Lean.Grind.GrobnerConfig... ok
Checking: Lean.Grind.NoopConfig... ok
Checking: Lean.Grind.NoopConfig.mk... ok
Checking: Lean.Grind.GrobnerConfig.mk... ok
Checking: Lean.Grind.GrobnerConfig.rec... ok
Checking: Lean.Grind.GrobnerConfig.recOn... ok
Checking: HasEquiv... ok
Checking: HasEquiv.mk... ok
Checking: Inhabited... ok
Checking: Inhabited.mk... ok
Checking: Inhabited.default... ok
Checking: instInhabitedForall... ok
Checking: SMul... ok
Checking: SMul.mk... ok
Checking: SMul.rec... ok
Checking: SMul.casesOn... ok
Checking: SMul.noConfusionType... ok
Checking: SMul.noConfusion... ok
Checking: Zero... ok
Checking: Zero.mk... ok
Checking: NeZero... ok
Checking: Ne... ok
Checking: Zero.zero... ok
Checking: Zero.toOfNat0... ok
Checking: NeZero.mk... ok
Checking: Zero.ofOfNat0... ok
Checking: Or.resolve_left... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.eq_zero_or_pos.match_1_1... ok
Checking: Nat.succ_pos... ok
Checking: Nat.eq_zero_or_pos... ok
Checking: Nat.pos_of_ne_zero... ok
Checking: NeZero.out... ok
Checking: NeZero.ne... ok
Checking: Nat.pos_of_neZero... ok
Checking: Fin.ofNat._proof_1... ok
Checking: Fin.ofNat... ok
Checking: Fin.instOfNat... ok
Checking: Fin.instInhabited... ok
Checking: Lean.TrailingParserDescr... ok
Checking: term_\/_... ok
Checking: HMul.rec... ok
Checking: HMul.casesOn... ok
Checking: HMul.noConfusionType... ok
Checking: Task.Priority... ok
Checking: Task.Priority.max... ok
Checking: MonadExceptOf... ok
Checking: MonadExceptOf.mk... ok
Checking: EStateM.Result... ok
Checking: EStateM.Result.ok... ok
Checking: EStateM.Result.error... ok
Checking: EStateM... ok
Checking: EStateM.throw... ok
Checking: EStateM.Backtrackable.save... ok
Checking: EStateM.Result.rec... ok
Checking: EStateM.Result.casesOn... ok
Checking: EStateM.tryCatch.match_1... ok
Checking: EStateM.Backtrackable.restore... ok
Checking: EStateM.tryCatch... ok
Checking: EStateM.instMonadExceptOfOfBacktrackable... ok
Checking: HAndThen... ok
Checking: HAndThen.mk... ok
Checking: HAndThen.rec... ok
Checking: HAndThen.casesOn... ok
Checking: HAndThen.noConfusionType... ok
Checking: HAndThen.noConfusion... ok
Checking: BEq... ok
Checking: BEq.mk... ok
Checking: Lean.Meta.Occurrences... ok
Checking: Lean.Meta.Occurrences.all... ok
Checking: Lean.Meta.Occurrences.pos... ok
Checking: Lean.Meta.Occurrences.neg... ok
Checking: Lean.Meta.Occurrences.rec... ok
Checking: Lean.Meta.Occurrences.casesOn... ok
Checking: Lean.Meta.Occurrences.ctorIdx... ok
Checking: _private.Init.Prelude.0.Nat.ne_of_beq_eq_false.match_1_1... ok
Checking: Nat.ne_of_beq_eq_false... ok
Checking: _private.Init.MetaTypes.0.Lean.Meta.instBEqOccurrences.beq._sparseCasesOn_1... ok
Checking: _private.Init.MetaTypes.0.Lean.Meta.instBEqOccurrences.beq._sparseCasesOn_2... ok
Checking: _private.Init.MetaTypes.0.Lean.Meta.instBEqOccurrences.beq._sparseCasesOn_3... ok
Checking: _private.Init.MetaTypes.0.Lean.Meta.instBEqOccurrences.beq.match_1... ok
Checking: BEq.beq... ok
Checking: Decidable.decide... ok
Checking: instBEqOfDecidableEq... ok
Checking: List.hasDecEq.match_5... ok
Checking: List.hasDecEq._proof_1... ok
Checking: List.noConfusionType... ok
Checking: List.noConfusion... ok
Checking: List.hasDecEq._proof_2... ok
Checking: List.hasDecEq._proof_3... ok
Checking: List.hasDecEq.match_3... ok
Checking: decEq... ok
Checking: List.hasDecEq.match_1... ok
Checking: List.hasDecEq._proof_4... ok
Checking: List.hasDecEq._proof_5... ok
Checking: List.hasDecEq._proof_6... ok
Checking: List.hasDecEq... ok
Checking: instDecidableEqList... ok
Checking: Nat.decEq.match_1... ok
Checking: _private.Init.Prelude.0.Nat.eq_of_beq_eq_true.match_1_1... ok
Checking: Nat.eq_of_beq_eq_true... ok
Checking: Nat.decEq... ok
Checking: instDecidableEqNat... ok
Checking: Lean.Meta.instBEqOccurrences.beq... ok
Checking: Lean.Meta.instBEqOccurrences... ok
Checking: default.sizeOf.match_1... ok
Checking: default.sizeOf... ok
Checking: Monad... ok
Checking: Applicative... ok
Checking: Functor... ok
Checking: Functor.mk... ok
Checking: Pure... ok
Checking: Pure.mk... ok
Checking: Seq... ok
Checking: Seq.mk... ok
Checking: SeqLeft... ok
Checking: SeqLeft.mk... ok
Checking: SeqRight... ok
Checking: SeqRight.mk... ok
Checking: Applicative.mk... ok
Checking: Bind... ok
Checking: Bind.mk... ok
Checking: Monad.mk... ok
Checking: ReaderT... ok
Checking: Functor.map... ok
Checking: Applicative.toFunctor... ok
Checking: Monad.toApplicative... ok
Checking: Functor.mapConst... ok
Checking: ReaderT.instFunctorOfMonad... ok
Checking: Pure.pure... ok
Checking: Applicative.toPure... ok
Checking: ReaderT.pure... ok
Checking: Seq.seq... ok
Checking: Applicative.toSeq... ok
Checking: SeqLeft.seqLeft... ok
Checking: Applicative.toSeqLeft... ok
Checking: SeqRight.seqRight... ok
Checking: Applicative.toSeqRight... ok
Checking: ReaderT.instApplicativeOfMonad... ok
Checking: Lean.Grind.ConfigInteractive... ok
Checking: Lean.Grind.ConfigInteractive.mk... ok
Checking: Lean.Grind.ConfigInteractive.rec... ok
Checking: Lean.Grind.ConfigInteractive.casesOn... ok
Checking: Lean.Grind.ConfigInteractive.noConfusionType... ok
Checking: Lean.Grind.ConfigInteractive.noConfusion... ok
Checking: Lean.Grind.ConfigInteractive.mk.noConfusion... ok
Checking: Sum... ok
Checking: Sum.inl... ok
Checking: Sum.inr... ok
Checking: Sum.rec... ok
Checking: Sum.casesOn... ok
Checking: Sum.noConfusionType... ok
Checking: Sum.noConfusion... ok
Checking: Sum.inl.noConfusion... ok
Checking: Sum.inl.inj... ok
Checking: _private.Init.Data.Nat.Div.Basic.0.Nat.div_mul_le_self.match_1_1... ok
Checking: Nat.lt_irrefl._simp_1... ok
Checking: Nat.zero_le._simp_1... ok
Checking: and_true... ok
Checking: Nat.div_zero... ok
Checking: WellFounded.fixF... ok
Checking: WellFounded.fix... ok
Checking: InvImage... ok
Checking: Acc.recOn... ok
Checking: InvImage.accAux... ok
Checking: InvImage.accessible... ok
Checking: InvImage.wf... ok
Checking: invImage._proof_1... ok
Checking: invImage... ok
Checking: SizeOf... ok
Checking: SizeOf.mk... ok
Checking: _private.Init.WF.0.Nat.lt_wfRel.match_1... ok
Checking: Acc.inv... ok
Checking: Nat.lt_wfRel._proof_3... ok
Checking: Nat.lt_wfRel... ok
Checking: measure... ok
Checking: SizeOf.sizeOf... ok
Checking: sizeOfWFRel... ok
Checking: instSizeOfNat... ok
Checking: Lean.opaqueId... ok
Checking: Nat.div.inductionOn._unary._proof_1... TIMEOUT
Checking: Nat.div.inductionOn._unary._proof_2... ok
Checking: Nat.div.inductionOn._unary... ok
Checking: Nat.div.inductionOn... ok
Checking: Nat.mod.inductionOn... ok
Checking: Nat.casesAuxOn... ok
Checking: Nat.le_add_left._simp_1... ok
Checking: Iff.refl... ok
Checking: Iff.rfl... ok
Checking: iff_self... ok
Checking: Exists... ok
Checking: Exists.intro... ok
Checking: Exists.rec... ok
Checking: Exists.casesOn... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.le_of_add_le_add_left.match_1_1... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.le.dest.match_1_3... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.le.dest.match_1_1... ok
Checking: Nat.le.dest... ok
Checking: Nat.le.intro... ok
Checking: implies_congr... ok
Checking: iff_of_true... ok
Checking: iff_true_intro... ok
Checking: imp_self... ok
Checking: imp_self._simp_1... ok
Checking: Nat.succ.inj... ok
Checking: Nat.succ.injEq... ok
