Getting declarations... 10953 found
(caching disabled)
Checking: Nat.not_le_of_not_ble_eq_true... ok
Checking: Nat.decLe... ok
Checking: HMod... ok
Checking: HMod.mk... ok
Checking: HMod.hMod... ok
Checking: Mod... ok
Checking: Mod.mk... ok
Checking: Mod.mod... ok
Checking: instHMod... ok
Checking: namedPattern... ok
Checking: Nat.mod.match_1... ok
Checking: Nat.decLt... ok
Checking: Nat.le.casesOn... ok
Checking: Nat.noConfusionType... ok
Checking: Nat.noConfusion... ok
Checking: Nat.div.go.match_1... ok
Checking: HSub... ok
Checking: HSub.mk... ok
Checking: HSub.hSub... ok
Checking: Sub... ok
Checking: Sub.mk... ok
Checking: Sub.sub... ok
Checking: instHSub... ok
Checking: Nat.pred... ok
Checking: Nat.sub... ok
Checking: instSubNat... ok
Checking: _private.Init.Prelude.0.Nat.le_trans.match_1_6... ok
Checking: Nat.le_trans... ok
Checking: Nat.lt_of_lt_of_le... ok
Checking: And.rec... ok
Checking: And.casesOn... ok
Checking: _private.Init.Prelude.0.Nat.div_rec_lemma.match_1_1... ok
Checking: _private.Init.Prelude.0.Nat.sub_lt.match_1_1... ok
Checking: _private.Init.Prelude.0.Nat.not_succ_le_self.match_1_1... ok
Checking: _private.Init.Prelude.0.Nat.not_succ_le_zero.match_1_5... ok
Checking: _private.Init.Prelude.0.Nat.not_succ_le_zero.match_1_1... ok
Checking: _private.Init.Prelude.0.Nat.not_succ_le_zero.match_1_3... ok
Checking: Nat.not_succ_le_zero... ok
Checking: _private.Init.Prelude.0.Nat.pred_le_pred.match_1_1... ok
Checking: Nat.le_succ... ok
Checking: Nat.pred_le_pred... ok
Checking: Nat.le_of_succ_le_succ... ok
Checking: Nat.not_succ_le_self... ok
Checking: Nat.lt_irrefl... ok
Checking: Nat.lt_succ_of_le... ok
Checking: Nat.le_refl... ok
Checking: _private.Init.Prelude.0.Nat.pred_le.match_1_1... ok
Checking: Nat.pred_le... ok
Checking: Nat.sub_le... ok
Checking: congrArg... ok
Checking: Nat.succ_sub_succ_eq_sub... ok
Checking: Nat.sub_lt... ok
Checking: Nat.div_rec_lemma... ok
Checking: Nat.le_of_lt_succ... ok
Checking: Nat.div_rec_fuel_lemma... ok
Checking: Nat.modCore.go... ok
Checking: Nat.lt_add_one... ok
Checking: Nat.lt_succ_self... ok
Checking: Nat.modCore... ok
Checking: Nat.mod... ok
Checking: Nat.instMod... ok
Checking: _private.Init.Prelude.0.Nat.mod_lt.match_1_3... ok
Checking: Nat.zero_lt_succ... ok
Checking: _private.Init.Prelude.0.Nat.mod_lt.match_1_1... ok
Checking: _private.Init.Prelude.0.Nat.modCore_lt.match_1_1... ok
Checking: Nat.not_lt_zero... ok
Checking: _private.Init.Prelude.0.Nat.modCoreGo_lt.match_1_1... ok
Checking: Or.rec... ok
Checking: Or.casesOn... ok
Checking: _private.Init.Prelude.0.Or.elim.match_1_1... ok
Checking: Or.elim... ok
Checking: id... ok
Checking: Or.resolve_right... ok
Checking: GE.ge... ok
Checking: _private.Init.Prelude.0.Nat.lt_or_ge.match_1_5... ok
Checking: _private.Init.Prelude.0.Nat.lt_or_ge.match_1_3... ok
Checking: Nat.le_succ_of_le... ok
Checking: _private.Init.Prelude.0.Nat.lt_or_ge.match_1_1... ok
Checking: Nat.eq_or_lt_of_le.match_3... ok
Checking: Nat.eq_or_lt_of_le.match_1... ok
Checking: Nat.eq_or_lt_of_le... ok
Checking: Nat.lt_or_ge... ok
Checking: Nat.lt_of_not_le... ok
Checking: Nat.modCoreGo_lt... ok
Checking: Nat.modCore_lt... ok
Checking: Nat.mod_lt... ok
Checking: Fin.Internal.ofNat... ok
Checking: _private.Init.Prelude.0.Nat.pow_pos.match_1_1... ok
Checking: HMul... ok
Checking: HMul.mk... ok
Checking: HMul.hMul... ok
Checking: Mul... ok
Checking: Mul.mk... ok
Checking: Mul.mul... ok
Checking: instHMul... ok
Checking: instMulNat... ok
Checking: _private.Init.Prelude.0.Nat.mul_pos.match_1_1... ok
Checking: _private.Init.Prelude.0.Nat.add_pos_right.match_1_1... ok
Checking: Nat.add_pos_right... ok
Checking: Nat.mul_pos... ok
Checking: Nat.pow_pos... ok
Checking: BitVec.ofNat._proof_1... ok
Checking: BitVec.ofNat... ok
Checking: UInt8.ofNat... ok
Checking: HDiv... ok
Checking: HDiv.mk... ok
Checking: HDiv.hDiv... ok
Checking: Div... ok
Checking: Div.mk... ok
Checking: Div.div... ok
Checking: instHDiv... ok
Checking: Nat.div.go... ok
Checking: Nat.div... ok
Checking: Nat.instDiv... ok
Checking: String.utf8EncodeChar... ok
Checking: List.utf8Encode... ok
Checking: ByteArray.IsValidUTF8.intro... ok
Checking: String.ofByteArray... ok
Checking: Lean.Name.str... ok
Checking: Lean.Name.num... ok
Checking: Lean.SyntaxNodeKind... ok
Checking: Lean.SyntaxNodeKinds... ok
Checking: Repr... ok
Checking: Std.Format... ok
Checking: Std.Format.nil... ok
Checking: Std.Format.line... ok
Checking: Std.Format.align... ok
Checking: Std.Format.text... ok
Checking: Int... ok
Checking: Int.ofNat... ok
Checking: Int.negSucc... ok
Checking: Std.Format.nest... ok
Checking: Std.Format.append... ok
Checking: optParam... ok
Checking: Std.Format.FlattenBehavior... ok
Checking: Std.Format.FlattenBehavior.allOrNone... ok
Checking: Std.Format.FlattenBehavior.fill... ok
Checking: Std.Format.group... ok
Checking: Std.Format.tag... ok
Checking: Repr.mk... ok
Checking: Lean.TSyntax... ok
Checking: Lean.Syntax... ok
Checking: Lean.Syntax.missing... ok
Checking: Lean.SourceInfo... ok
Checking: Substring.Raw... ok
Checking: String.Pos.Raw... ok
Checking: String.Pos.Raw.mk... ok
Checking: Substring.Raw.mk... ok
Checking: Lean.SourceInfo.original... ok
Checking: Lean.SourceInfo.synthetic... ok
Checking: Lean.SourceInfo.none... ok
Checking: Lean.Syntax.node... ok
Checking: Lean.Syntax.atom... ok
Checking: Lean.Syntax.Preresolved... ok
Checking: Lean.Syntax.Preresolved.namespace... ok
Checking: Lean.Syntax.Preresolved.decl... ok
Checking: Lean.Syntax.ident... ok
Checking: Lean.TSyntax.mk... ok
Checking: NatCast... ok
Checking: NatCast.mk... ok
Checking: NatCast.natCast... ok
Checking: Nat.cast... ok
Checking: instNatCastInt... ok
Checking: Inhabited... ok
Checking: Inhabited.mk... ok
Checking: Inhabited.default... ok
Checking: Pi.instInhabited... ok
Checking: instInhabitedNat... ok
Checking: String.Internal.length... ok
Checking: HAppend... ok
Checking: HAppend.mk... ok
Checking: HAppend.hAppend... ok
Checking: Append... ok
Checking: Append.mk... ok
Checking: Append.append... ok
Checking: instHAppendOfAppend... ok
Checking: Std.Format.instAppend... ok
Checking: Std.Format.bracket... ok
Checking: instOfNat... ok
Checking: Repr.reprPrec... ok
Checking: repr... ok
Checking: Std.instInhabitedFormat.default... ok
Checking: Std.instInhabitedFormat... ok
Checking: Lean.Syntax.instRepr.repr... ok
Checking: Lean.Syntax.instRepr... ok
Checking: Lean.TSyntax.raw... ok
Checking: Lean.Syntax.instReprTSyntax.repr... ok
Checking: Lean.Syntax.instReprTSyntax... ok
Checking: Lean.RArray... ok
Checking: Lean.RArray.leaf... ok
Checking: Lean.RArray.branch... ok
Checking: Nat.Linear.Context... ok
Checking: Nat.Linear.Expr... ok
Checking: Nat.Linear.Expr.num... ok
Checking: Nat.Linear.Var... ok
Checking: Nat.Linear.Expr.var... ok
Checking: Nat.Linear.Expr.add... ok
Checking: Nat.Linear.Expr.mulL... ok
Checking: Nat.Linear.Expr.mulR... ok
Checking: Nat.Linear.Expr.rec... ok
Checking: Nat.Linear.Expr.below... ok
Checking: Nat.Linear.Expr.brecOn.go... ok
Checking: Nat.Linear.Expr.brecOn... ok
Checking: Nat.Linear.Expr.casesOn... ok
Checking: Nat.Linear.Expr.denote.match_1... ok
Checking: Lean.RArray.rec... ok
Checking: Lean.RArray.get... ok
Checking: Nat.beq.match_1... ok
Checking: Nat.beq... ok
Checking: Nat.Linear.fixedVar... ok
Checking: Nat.Linear.Var.denote... ok
Checking: Nat.Linear.Expr.denote... ok
Checking: semiOutParam... ok
Checking: MonadReaderOf... ok
Checking: MonadReaderOf.mk... ok
Checking: MonadReaderOf.read... ok
Checking: Exists... ok
Checking: Exists.intro... ok
Checking: Subtype... ok
Checking: Subtype.mk... ok
Checking: Subtype.val... ok
Checking: Nonempty... ok
Checking: Nonempty.intro... ok
Checking: Classical.choice... ok
Checking: Exists.rec... ok
Checking: Exists.casesOn... ok
Checking: Classical.indefiniteDescription.match_1... ok
Checking: Classical.indefiniteDescription._proof_1... ok
Checking: Classical.indefiniteDescription... ok
Checking: Classical.choose... ok
Checking: Exists.choose... ok
Checking: List.length... ok
Checking: Option... ok
Checking: Option.none... ok
Checking: Option.some... ok
Checking: GetElem?... ok
Checking: GetElem... ok
Checking: GetElem.mk... ok
Checking: GetElem?.mk... ok
Checking: GetElem?.getElem?... ok
Checking: Fin.rec... ok
Checking: Fin.casesOn... ok
Checking: True... ok
Checking: True.intro... ok
Checking: _private.Init.Prelude.0.noConfusion_of_Nat.aux.match_1_1... ok
Checking: _private.Init.Prelude.0.noConfusion_of_Nat.aux... ok
Checking: noConfusion_of_Nat... ok
Checking: Nat.ctorIdx... ok
Checking: List.get.match_1... ok
Checking: List.get._proof_1... ok
Checking: List.get... ok
Checking: List.instGetElemNatLtLength... ok
Checking: Ne... ok
Checking: List.ctorIdx... ok
Checking: _private.Init.Prelude.0.Nat.ne_of_beq_eq_false.match_1_1... ok
Checking: Nat.ne_of_beq_eq_false... ok
Checking: List.get?Internal._sparseCasesOn_1... ok
Checking: List.get?Internal.match_1... ok
Checking: List.get?Internal... ok
Checking: panicCore... ok
Checking: panic... ok
Checking: String.instInhabited... ok
Checking: String.Internal.append... ok
Checking: ToString... ok
Checking: ToString.mk... ok
Checking: ToString.toString... ok
Checking: String.ofList._proof_1... ok
Checking: String.ofList... ok
Checking: _private.Init.Data.Repr.0.Nat.toDigitsCore.match_1... ok
Checking: Nat.decEq.match_1... ok
Checking: _private.Init.Prelude.0.Nat.eq_of_beq_eq_true.match_1_1... ok
Checking: Nat.eq_of_beq_eq_true... ok
Checking: Nat.decEq... ok
Checking: instDecidableEqNat... ok
Checking: instDecidableAnd.match_1... ok
Checking: instDecidableOr.match_1... ok
Checking: instDecidableOr._proof_1... ok
Checking: instDecidableOr... ok
Checking: And.right... ok
Checking: instDecidableAnd._proof_1... ok
Checking: And.left... ok
Checking: instDecidableAnd._proof_2... ok
Checking: instDecidableAnd... ok
Checking: BitVec.ofNatLT... ok
Checking: UInt32.size... ok
Checking: _private.Init.Prelude.0.isValidChar_UInt32.match_1_1... ok
Checking: Nat.lt_trans... ok
Checking: Decidable.decide... ok
Checking: _private.Init.Prelude.0.of_decide_eq_true.match_1_1... ok
Checking: _private.Init.Prelude.0.ne_true_of_eq_false.match_1_1... ok
Checking: ne_true_of_eq_false... ok
Checking: _private.Init.Prelude.0.decide_eq_false.match_1_1... ok
Checking: decide_eq_false... ok
Checking: of_decide_eq_true... ok
Checking: _private.Init.Prelude.0.isValidChar_UInt32... ok
Checking: Char.ofNatAux._private_1... ok
Checking: Char.ofNatAux... ok
Checking: Char.ofNat._proof_1... ok
Checking: Char.ofNat._proof_2... ok
Checking: Char.ofNat... ok
Checking: Nat.digitChar... ok
Checking: Nat.toDigitsCore... ok
Checking: Nat.toDigits... ok
Checking: Nat.repr... ok
Checking: instToStringNat... ok
Checking: mkPanicMessageWithDecl... ok
Checking: panicWithPosWithDecl... ok
Checking: List.get!Internal... ok
Checking: List.instGetElem?NatLtLength... ok
Checking: List.reverseAux.match_1... ok
Checking: List.reverseAux... ok
Checking: List.reverse... ok
Checking: _private.Init.Data.List.Lemmas.0.List.getElem?_reverse'.match_1_1... ok
Checking: trivial... ok
Checking: of_eq_true... ok
Checking: Eq.trans... ok
Checking: GetElem.getElem... ok
Checking: List.instAppend... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.sub_le_sub_right.match_1_1... ok
Checking: Nat.sub_le_sub_right... ok
Checking: Nat.succ_le_of_lt... ok
Checking: Eq.mp... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.succ_sub.match_1_1... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.le.dest.match_1_3... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.add_comm.match_1_1... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.zero_add.match_1_1... ok
Checking: Nat.zero_add... ok
Checking: Eq.mpr... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.succ_add.match_1_1... ok
Checking: Nat.succ_add... ok
Checking: Nat.add_comm... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.le.dest.match_1_1... ok
Checking: Nat.le.dest... ok
Checking: Nat.recAux... ok
Checking: Iff... ok
Checking: Iff.intro... ok
Checking: propext... ok
Checking: eq_true... ok
Checking: eq_self... ok
Checking: congr... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.add_assoc.match_1_1... ok
Checking: Nat.add_assoc... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.add_sub_add_right._simp_1_1... ok
Checking: Nat.add_sub_add_right... ok
Checking: Nat.add_sub_add_left... ok
Checking: Nat.sub_zero... ok
Checking: Nat.add_sub_cancel_left... ok
Checking: Nat.add_succ... ok
Checking: Nat.succ_sub... ok
Checking: Nat.sub_lt_left_of_lt_add... ok
Checking: List.length_append... ok
Checking: List.getElem_append_right._proof_1... ok
Checking: List.append_assoc... ok
Checking: List.reverseAux_eq_append... ok
Checking: List.reverse_cons... ok
Checking: List.length_reverse... ok
Checking: Nat.le_refl._simp_1... ok
Checking: Nat.lt_add_one._simp_1... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.sub_self.match_1_1... ok
Checking: Nat.succ_sub_succ... ok
Checking: Nat.sub_self... ok
Checking: GetElem?.toGetElem... ok
Checking: Nat.zero_lt_succ._simp_1... ok
Checking: Eq.propIntro... ok
Checking: Nat.succ.inj... ok
Checking: Nat.succ.injEq... ok
Checking: LawfulGetElem... ok
Checking: autoParam... ok
Checking: Lean.Name.mkStr4... ok
Checking: Lean.Name.mkStr1... ok
Checking: Lean.mkAtom... ok
Checking: ByteArray.size.match_1... ok
Checking: Array.size... ok
Checking: ByteArray.size... ok
Checking: String.bytes... ok
Checking: String.utf8ByteSize... ok
Checking: String.rawEndPos... ok
Checking: String.toRawSubstring... ok
Checking: LawfulGetElem.getElem?_def._autoParam... ok
Checking: GetElem?.getElem!... ok
Checking: Option.rec... ok
Checking: Option.casesOn... ok
Checking: GetElem?.match_1... ok
Checking: LawfulGetElem.getElem!_def._autoParam... ok
Checking: LawfulGetElem.mk... ok
Checking: LawfulGetElem.getElem?_def... ok
Checking: _private.Init.Core.0.dif_pos.match_1_1... ok
Checking: dif_pos... ok
Checking: getElem?_pos... ok
Checking: _private.Init.Core.0.dif_neg.match_1_1... ok
Checking: dif_neg... ok
Checking: _private.Init.GetElem.0.List.getElem?_eq_none_iff.match_1_1... ok
Checking: Nat.zero_le._simp_1... ok
Checking: Iff.mpr... ok
Checking: iff_true... ok
Checking: Nat.casesAuxOn... ok
Checking: List.getElem?_eq_getElem... ok
Checking: eq_false... ok
Checking: eq_false'... ok
Checking: Option.ctorIdx... ok
Checking: _private.Init.Prelude.0.Nat.le_antisymm.match_1_1... ok
Checking: Nat.lt_of_le_of_lt... ok
Checking: Nat.le_antisymm... ok
Checking: Nat.le_zero_eq... ok
Checking: Iff.refl... ok
Checking: Iff.rfl... ok
Checking: iff_self... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.le_of_add_le_add_left.match_1_1... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.le_add_right.match_1_1... ok
Checking: Nat.le_add_right... ok
Checking: Nat.le.intro... ok
Checking: implies_congr... ok
Checking: iff_of_true... ok
Checking: iff_true_intro... ok
Checking: imp_self... ok
Checking: imp_self._simp_1... ok
Checking: Nat.add_left_cancel... ok
Checking: Nat.le_of_add_le_add_left... ok
Checking: Nat.le_of_add_le_add_right... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.add_le_add_left.match_1_1... ok
Checking: Nat.add_le_add_left... ok
Checking: Nat.add_le_add_right... ok
Checking: Nat.add_le_add_iff_right... ok
Checking: _private.Init.GetElem.0.List.getElem?_eq_none_iff._simp_1_3... ok
Checking: List.getElem?_eq_none_iff... ok
Checking: List.getElem?_eq_none_iff._simp_1... ok
Checking: Or.resolve_left... ok
Checking: Nat.ge_of_not_lt... ok
Checking: flip... ok
Checking: GT.gt... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.not_le_of_gt.match_1_1... ok
Checking: Eq.subst... ok
Checking: Nat.not_le_of_gt... ok
Checking: Nat.not_lt... ok
Checking: Nat.not_lt._simp_1... ok
Checking: List.instLawfulGetElemNatLtLength... ok
Checking: _private.Init.Data.Nat.Basic.0.Nat.sub_eq_zero_of_le.match_1_1... ok
Checking: Nat.zero_sub... ok
Checking: Nat.sub_self_add... ok
Checking: Nat.sub_eq_zero_of_le... ok
Checking: Nat.le_add_left... ok
Checking: Nat.le_add_left._simp_1... ok
Checking: GetElem.getElem.congr_simp... ok
Checking: Nat.lt_of_succ_lt_succ... ok
Checking: Nat.add_le_add_iff_right._simp_1... ok
Checking: List.getElem_append_right... ok
Checking: List.getElem_append_left... ok
Checking: List.getElem?_append_left... ok
Checking: Nat.lt_of_succ_le... ok
Checking: Nat.add_lt_add_left... ok
Checking: Nat.lt_add_of_pos_right... ok
Checking: Nat.succ_pos... ok
Checking: List.getElem?_reverse'... ok
Checking: Fin.noConfusionType... ok
Checking: Fin.noConfusion... ok
Checking: Fin.mk.noConfusion... ok
Checking: Fin.mk.injEq... ok
Checking: Bool.and.match_1... ok
Checking: Bool.and... ok
Checking: DecidablePred... ok
Checking: Bool.instDecidableForallOfDecidablePred.match_3... ok
Checking: Bool.instDecidableForallOfDecidablePred._proof_1... ok
Checking: Bool.instDecidableForallOfDecidablePred._proof_2... ok
Checking: Bool.instDecidableForallOfDecidablePred.match_1... ok
Checking: Bool.instDecidableForallOfDecidablePred._proof_3... ok
Checking: Bool.instDecidableForallOfDecidablePred... ok
Checking: instDecidableIff._proof_1... ok
Checking: Iff.mp... ok
Checking: instDecidableIff._proof_2... ok
Checking: instDecidableIff._proof_3... ok
Checking: instDecidableIff._proof_4... ok
Checking: instDecidableIff... ok
Checking: instDecidableForall._proof_1... ok
Checking: instDecidableForall... ok
Checking: Bool.and_eq_false_imp... ok
Checking: Acc... ok
Checking: Acc.intro... ok
Checking: Acc.below... ok
Checking: Acc.below.intro... ok
Checking: Acc.rec... ok
Checking: Acc.brecOn... ok
Checking: HEq.rfl... ok
Checking: ForInStep... ok
Checking: ForInStep.done... ok
Checking: ForInStep.yield... ok
Checking: ForInStep.rec... ok
Checking: ForInStep.casesOn... ok
Checking: ForInStep.noConfusionType... ok
Checking: ForInStep.noConfusion... ok
Checking: ForInStep.done.noConfusion... ok
Checking: ForInStep.done.inj... ok
Checking: ReaderT... ok
Checking: ST.Ref... ok
Checking: NonemptyType... ok
Checking: NonemptyType.type... ok
Checking: instInhabitedNonemptyType... ok
Checking: ST.RefPointed... ok
Checking: ST.Ref.mk... ok
Checking: StateRefT'... ok
Checking: List.getLast?.match_1... ok
Checking: List.foldr... ok
Checking: Id... ok
Checking: Id.run... ok
Checking: Bind... ok
Checking: Bind.mk... ok
Checking: Bind.bind... ok
Checking: Monad... ok
Checking: Applicative... ok
Checking: Functor... ok
Checking: Functor.mk... ok
Checking: Pure... ok
Checking: Pure.mk... ok
Checking: Seq... ok
Checking: Seq.mk... ok
Checking: SeqLeft... ok
Checking: SeqLeft.mk... ok
Checking: SeqRight... ok
Checking: SeqRight.mk... ok
Checking: Applicative.mk... ok
Checking: Monad.mk... ok
Checking: Monad.toBind... ok
Checking: Function.comp... ok
Checking: Function.const... ok
Checking: Id.instMonad... ok
Checking: List.foldlM.match_1... ok
Checking: Pure.pure... ok
Checking: Applicative.toPure... ok
Checking: Monad.toApplicative... ok
Checking: List.foldlM... ok
Checking: List.foldrM... ok
Checking: LawfulMonad... ok
Checking: LawfulApplicative... ok
Checking: LawfulFunctor... ok
Checking: Functor.mapConst... ok
Checking: Functor.map... ok
Checking: LawfulFunctor.mk... ok
Checking: Applicative.toFunctor... ok
Checking: SeqLeft.seqLeft... ok
Checking: Applicative.toSeqLeft... ok
Checking: Seq.seq... ok
Checking: Applicative.toSeq... ok
Checking: SeqRight.seqRight... ok
Checking: Applicative.toSeqRight... ok
Checking: LawfulApplicative.mk... ok
Checking: LawfulMonad.mk... ok
Checking: List.foldlM_cons... FAIL
Checking: LawfulMonad.bind_pure_comp... ok
Checking: LawfulFunctor.id_map... ok
Checking: LawfulApplicative.toLawfulFunctor... ok
Checking: LawfulMonad.toLawfulApplicative... ok
Checking: bind_pure... ok
Checking: LawfulMonad.pure_bind... ok
Checking: <anonymous>... ok
Checking: <anonymous>... ok
Checking: Quot.liftOn... ok
Checking: <anonymous>... ok
Checking: Quot.sound... ok
Checking: funext... ok
Checking: LawfulMonad.bind_assoc... ok
Checking: List.foldlM_append... ok
Checking: List.foldrM_cons... ok
Checking: LawfulApplicative.map_pure... ok
Checking: List.foldrM_pure... ok
Checking: _auto._@.Init.Control.Lawful.Basic.156091895._hygCtx._hyg.78... ok
Checking: _auto._@.Init.Control.Lawful.Basic.156091895._hygCtx._hyg.100... ok
Checking: _auto._@.Init.Control.Lawful.Basic.156091895._hygCtx._hyg.140... ok
Checking: _auto._@.Init.Control.Lawful.Basic.156091895._hygCtx._hyg.172... ok
Checking: _auto._@.Init.Control.Lawful.Basic.156091895._hygCtx._hyg.204... ok
Checking: forall_congr... ok
Checking: implies_true... ok
Checking: LawfulMonad.mk'... ok
Checking: Id.instLawfulMonad... ok
Checking: List.foldr_eq_foldrM... ok
Checking: List.foldrM_append... ok
Checking: List.foldr_append... ok
Checking: List.foldr_flatten... ok
Checking: Lean.Meta.EtaStructMode... ok
Checking: Lean.Meta.EtaStructMode.all... ok
Checking: Lean.Meta.EtaStructMode.notClasses... ok
Checking: Lean.Meta.EtaStructMode.none... ok
Checking: Lean.Meta.DSimp.Config... ok
Checking: Lean.Meta.DSimp.Config.mk... ok
Checking: Option.SomeLtNone.lt.match_1... ok
Checking: Option.SomeLtNone.lt... ok
Checking: List.Sublist... ok
Checking: List.Sublist.slnil... ok
